,dumb,reduced,residual
2011-07-26 16:30:00,3.108200000000001,2.8743884539100057,2.2617999999999996
2011-07-26 16:45:00,3.2315,3.0280787996700047,2.358
2011-07-26 17:00:00,3.0855000000000006,2.7781383907900046,1.9808999999999997
2011-07-26 17:15:00,2.954999999999999,2.5873676362900033,1.9676999999999998
2011-07-26 17:30:00,3.108099999999999,2.7411881226500032,2.039799999999999
2011-07-26 17:45:00,3.3996999999999997,3.087210768850003,2.2836999999999996
2011-07-26 18:00:00,3.6435999999999993,3.2937238651700023,2.4423
2011-07-26 18:15:00,3.8835999999999995,3.6008983860800012,2.6649
2011-07-26 18:30:00,3.8234999999999975,3.33081309788,2.444699999999999
2011-07-26 18:45:00,3.846899999999999,3.3069460309300007,2.4484
2011-07-26 19:00:00,3.7712999999999983,3.32586695728,2.3762999999999996
2011-07-26 19:15:00,3.4691999999999994,3.1595722706399996,2.2236
2011-07-26 19:30:00,3.0117000000000007,2.7612711088000004,1.8721
2011-07-26 19:45:00,3.43,3.08506053072,2.1449999999999996
2011-07-26 20:00:00,2.960600000000001,2.6692916129199995,1.7955999999999999
2011-07-26 20:15:00,2.395200000000001,2.268310319619999,1.4329
2011-07-26 20:30:00,2.466100000000001,2.223061668919999,1.4548000000000003
2011-07-26 20:45:00,2.527200000000001,2.3055308974599984,1.4328000000000003
2011-07-26 21:00:00,2.4280000000000013,2.304340260659998,1.4584000000000006
2011-07-26 21:15:00,2.1155000000000017,2.085357478309999,1.2266000000000001
2011-07-26 21:30:00,2.1047000000000016,2.0294646025599987,1.1497
2011-07-26 21:45:00,2.1742000000000017,2.075488961659999,1.1897000000000002
2011-07-26 22:00:00,1.7446000000000015,1.6995244772599987,0.8447000000000001
2011-07-26 22:15:00,1.857700000000001,1.7926934107599983,0.9359000000000001
2011-07-26 22:30:00,1.6343000000000012,1.587214634719998,0.7676000000000001
2011-07-26 22:45:00,1.6397000000000008,1.6731904538099984,0.8441
